"aggregated_crossings_id","barrier_id","internal_name","crossing_source","crossing_feature_type","crossing_type_code","barrier_status","transport_line_structured_name_1","rail_track_name","blue_line_key","watercourse_name","road_name","structure_type","structure_owner","private_owner_details","structure_list_status","assessment_type_completed","reason_for_exclusion","method_of_exclusion","partial_passability","partial_passability_notes","upstream_habitat_quality","constructability","estimated_cost_.","priority","type_of_rehabilitation","rehabilitated_by","rehabilitated_date","estimated_rehabilitation_cost_.","actual_project_cost_.","next_steps","timeline_for_next_steps","lead_for_next_steps","others_involved_in_next_steps","reason","notes","supporting_links","modelled_crossing_id","pscis_status","crossing_subtype_code","pscis_road_name","pscis_stream_name","pscis_assessment_comment","pscis_assessment_date","dam_name","dam_height","dam_owner","dam_use","dam_operating_status","utm_zone","utm_easting","utm_northing","downstream_route_measure","wscode","localcode","watershed_group_code","gnis_stream_name","barriers_anthropogenic_dnstr","barriers_anthropogenic_dnstr_count","barriers_anthropogenic_habitat_wcrp_upstr","barriers_anthropogenic_habitat_wcrp_upstr_count","barriers_ch_cm_co_pk_sk_dnstr","barriers_st_dnstr","barriers_wct_dnstr","ch_spawning_km","ch_rearing_km","ch_spawning_belowupstrbarriers_km","ch_rearing_belowupstrbarriers_km","cm_spawning_km","cm_spawning_belowupstrbarriers_km","co_spawning_km","co_rearing_km","co_rearing_ha","co_spawning_belowupstrbarriers_km","co_rearing_belowupstrbarriers_km","co_rearing_belowupstrbarriers_ha","pk_spawning_km","pk_spawning_belowupstrbarriers_km","sk_spawning_km","sk_rearing_km","sk_rearing_ha","sk_spawning_belowupstrbarriers_km","sk_rearing_belowupstrbarriers_km","sk_rearing_belowupstrbarriers_ha","st_spawning_km","st_rearing_km","st_spawning_belowupstrbarriers_km","st_rearing_belowupstrbarriers_km","wct_spawning_km","wct_rearing_km","wct_spawning_belowupstrbarriers_km","wct_rearing_belowupstrbarriers_km","all_spawning_km","all_spawning_belowupstrbarriers_km","all_rearing_km","all_rearing_belowupstrbarriers_km","all_spawningrearing_km","all_spawningrearing_belowupstrbarriers_km","set_id","total_hab_gain_set","num_barriers_set","avg_gain_per_barrier","dnstr_set_ids","rank_avg_gain_per_barrier","rank_avg_gain_tiered","rank_total_upstr_hab","rank_combined","tier_combined","label_in_wcrp","elko_region","geom","rank_value","rank_value_num","dnstr_count","structure_count","cum_avg_gain","status_clean","symbol_cat_detailed","symbol_cat_simple"
197845,"197845","Trib to Bighorn @ Cabin FSR (197845)","PSCIS","ROAD, RESOURCE/OTHER","CBS","BARRIER","Cabin FSR","NULL",356534319,"Tributary to Bighorn Creek","Cabin Creek FSR","Stream crossing - CBS","NULL","NULL","Data-deficient barrier","Barrier assessment","NULL","NULL","NULL","NULL","Low","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Habitat confirmation (data deficient structures only)","NULL","NULL","NULL","Industry barrier. Noted as low quality habitat (dry at time of assessmnet) but industry barrier, appears to be dredged often due to undersized crossing. WCT release records in stream, unclear of natural habitat capabilities.","Industry barrier. Relatively new crossing in 2021. Creek appears to have been dredged frequently","NULL","4605531","ASSESSED","ROUND","Cabin FSR","Tributary to Bighorn Creek","New PVC culvert.  Creek appears to have been dredged often.  Channel dry.  Inlet drop of ~0.15m. 13:47","2021-09-28","NULL","NULL","NULL","NULL","NULL",11,655961,5453504,86,"300.625474.584724.074830.438900.402447","300.625474.584724.074830.438900.402447","ELKR","NULL","NULL",0,"NULL","NULL","NULL","NULL",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.898186487578775,1.84718618520017,0.898186487578775,1.84718618520017,0.9,0.9,1.85,1.85,1.85,1.85,"1952","1.85","1",1.85,"NULL","1","1","1","1","A","yes","below_elko","01010000E0BD0B000008A22E652D9B3B416119D82CB52E2041934B357C66F693400000000000805540","1",1,0,0,0,"data-deficient barrier","Data-deficient Barrier","Barriers"
197844,"197844","1004605514","PSCIS","ROAD, RESOURCE/OTHER","CBS","BARRIER","Cabin FSR","NULL",356532922,"Tributary to Bighorn Creek","Cabin Creek FSR","Stream crossing - CBS","CanFor","NULL","Priority barrier","Detailed habitat investigation","NULL","NULL","No","NULL","Medium","Moderate","240000","Medium","NULL","NULL","NULL","NULL","NULL","Engage with barrier owner","2025-02-28","CWF","NULL","Industry barrier. Good overwintering potential for WCT. ","Bull Trout also present in stream.  Winter investigations revealed strong groundwater influence upstream of crossing and at mouth of creek. 70 m dewatered section between culvert and mouth.","https://www.newgraphenvironment.com/fish_passage_elk_2021_reporting/appendix---197844---tributary-to-bighorn-creek.html Also see: VAST. 2023. Elk River Westslope Cutthroat Trout passage and habitat investigations. Prepared for Canadian Wildlife Federation by VAST Resource Solutions Inc., Cranbrook, B.C.","4605514","HABITAT CONFIRMATION","ROUND","Cabin FSR","Tributary to Bighorn Creek","Cobble substrate and abundant overhanging vegetation.  Decent sized stream. 13:24","2021-09-28","NULL","NULL","NULL","NULL","NULL",11,657920,5452802,95,"300.625474.584724.074830.438900.487717","300.625474.584724.074830.438900.487717","ELKR","NULL","NULL",0,"NULL","NULL","NULL","NULL",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101837077111145,1.71299391190293,0.1,1.71,0.1,0.1,1.71,1.71,1.71,1.71,"1802","1.71","1",1.71,"NULL","2","2","2","2","A","yes","below_elko","01010000E0BD0B000085C917B71FA33B41DF7C58AB3E2B20411ED3B4A33B8794400000000000C05740","2",2,0,1,1.85,"priority barrier","Priority Barrier","Barriers"
1004601731,"1004601731","N Lodgepole Cr @ Lodgepole FSR - Flathead Ridge","MODELLED CROSSINGS","ROAD, RESOURCE/OTHER","CBS","POTENTIAL","NULL","NULL",356564133,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4601731","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",11,658512,5465012,7602.730764665,"300.625474.584724.074830.184942.717308","300.625474.584724.074830.184942.717308.721566","ELKR","North Lodgepole Creek","NULL",0,"1024747002","1","NULL","NULL",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39099912068367,0,1.39099912068367,0,0,1.39,1.39,1.39,1.39,"152","1.39","1",1.39,"NULL","3","3","4","3","A","yes","below_elko","01010000E0BD0B0000B2C121D8499F3B4145525CE65C8A2041C9241CB303959E403FA16413BBB2BD40","3",3,0,2,3.56,NA,"Unassessed Structure","Unassessed Structures"
197787,"197787","1004606370","PSCIS","ROAD, RESOURCE/OTHER","CBS","POTENTIAL","Lodgepole Creek FSR","NULL",356565430,"Lodgepole Creek","Lodgepole Creek FSR","Stream crossing - CBS","CanFor","NULL","Priority barrier","Detailed habitat investigation","NULL","NULL","Yes","Proportion of time","High","Easy","240000","High","NULL","NULL","NULL","NULL","NULL","Engage with barrier owner","2025-04-30","CWF","NULL","Industry barrier. Excellent quality habitat supporting all life stages of WCT. ","Pure population of WCT confirmed in Lodgepole Creek. Barrier at low flows. Sedimentation and deflection issues identified due to culvert. ","https://www.newgraphenvironment.com/fish_passage_elk_2021_reporting/appendix---197787-197786---lodgepole-creek.html Also see: VAST. 2023. Elk River Westslope Cutthroat Trout passage and habitat investigations. Prepared for Canadian Wildlife Federation by VAST Resource Solutions Inc., Cranbrook, B.C. ","4606370","HABITAT CONFIRMATION","ROUND","Harvey FSR","Lodgepole Creek","Two pipes (1m each) but one blocked with debris.  Because height of outlets equivalent widths were added together for input to stream width ratio.   Large beaver dams upstream between culvert and Lodgepole Lake. 15:37","2021-07-29","NULL","NULL","NULL","NULL","NULL",11,664904,5462561,25589,"300.625474.584724.074830.184942","300.625474.584724.074830.184942.828818","ELKR","Lodgepole Creek","NULL",0,"197786","1","NULL","NULL",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15400064034513,1.66000096582956,1.15,1.15,1.15,1.15,1.66,1.15,1.66,1.15,"1352","1.15","1",1.15,"NULL","4","4","3","4","A","yes","below_elko","01010000E0BD0B00000D88A5234EB93B41C7050DB4D47D2041E00FB575C6B999400000000040FDD840","4",4,0,3,4.95,"priority barrier","Priority Barrier","Barriers"
1004605528,"1004605528","Trib to Wigwam R @ Cabin Cr FSR","MODELLED CROSSINGS","ROAD, RESOURCE/OTHER","CBS","POTENTIAL","Wigwam FSR","NULL",356495597,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4605528","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",11,649895,5455640,683.054338743454,"300.625474.584724.074830.286851","300.625474.584724.074830.286851","ELKR","NULL","NULL",0,"NULL","NULL","NULL","NULL",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86799949037641,0.86799949037641,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,"902","0.87","1",0.87,"NULL","5","5","6","5","A","yes","below_elko","01010000E0BD0B00002964166E94823B4119846CC8223920416CA857E89F99914053B026496F588540","5",5,0,4,6.1,NA,"Unassessed Structure","Unassessed Structures"
1004603632,"1004603632","Trib to Lodgepole Cr @ S Lodgepole spur","MODELLED CROSSINGS","ROAD, RESOURCE/OTHER","CBS","POTENTIAL","NULL","NULL",356551813,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4603632","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",11,658853,5458843,2508.06439274593,"300.625474.584724.074830.184942.587579","300.625474.584724.074830.184942.587579.320879","ELKR","NULL","NULL",0,"1004602683","1","NULL","NULL",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052940484809768,1.33500069435308,0.05,0.21,0.05,0.05,1.34,0.21,1.34,0.21,"302","1.34","2",0.67,"NULL","7","7","5","6","A","yes","below_elko","01010000E0BD0B0000583C3D7BB5A33B41FB231A33F35A20416EE898099C1E9640BD0316F82098A340","6",6,0,5,6.97,NA,"Unassessed Structure","Unassessed Structures"
1004602683,"1004602683","Trib to Lodgepole Cr @ S Lodgepole spur","MODELLED CROSSINGS","ROAD, RESOURCE/OTHER","CBS","POTENTIAL","NULL","NULL",356551813,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4602683","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",11,658878,5458649,2713.39674832928,"300.625474.584724.074830.184942.587579","300.625474.584724.074830.184942.587579.346921","ELKR","NULL","1004603632",1,"NULL","NULL","NULL","NULL",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13000004487612,0,1.13,0,0,1.13,1.13,1.13,1.13,"302","1.34","2",0.67,"NULL","7","7","5","6","A","yes","below_elko","01010000E0BD0B0000FF8DE642E7A33B41C7B89C2E79592041CD56187A0F55964000D69822CB32A540","6",6,1,6,7.64,NA,"Unassessed Structure","Unassessed Structures"
197842,"197842","Trib to Bighorn @ Cabin Cr FSR (197842)","PSCIS","ROAD, RESOURCE/OTHER","CBS","BARRIER","Cabin FSR","NULL",356493477,"Tributary to Bighorn Creek","Cabin Cr FSR","Stream crossing - CBS","NULL","NULL","Data-deficient barrier","Barrier assessment","NULL","NULL","NULL","NULL","Medium","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Habitat confirmation (data deficient structures only)","NULL","NULL","NULL","Assessment comments are nice stream with big pool","","https://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198862","4605504","ASSESSED","ROUND","Cabin FSR","Tributary to Bighorn Creek","Nice stream with big pool. 12:22","2021-09-28","NULL","NULL","NULL","NULL","NULL",11,663661,5447169,156,"300.625474.584724.074830.438900.826537","300.625474.584724.074830.438900.826537","ELKR","NULL","NULL",0,"NULL","NULL","NULL","NULL",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.794000000000167,0,0.79,0,0,0.79,0.79,0.79,0.79,"1502","0.79","1",0.79,"NULL","6","6","7","7","A","yes","below_elko","01010000E0BD0B0000D695D90E38BC3B41C584CA5B6F0520411238035456E198400000000000806340","7",7,0,7,8.31,"data-deficient barrier","Data-deficient Barrier","Barriers"
1004603498,"1004603498","Trib to Wigwam R @ Tower FSR spur","MODELLED CROSSINGS","ROAD, RESOURCE/OTHER","CBS","POTENTIAL","NULL","NULL",356536376,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4603498","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",11,647799,5450192,57.6194782301885,"300.625474.584724.074830.421290","300.625474.584724.074830.421290","ELKR","NULL","NULL",0,"NULL","NULL","NULL","NULL",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.564999683850494,0,0.564999683850494,0,0,0.56,0.56,0.56,0.56,"602","0.56","1",0.56,"NULL","8","8","9","8","A","yes","below_elko","01010000E0BD0B0000333243632F7D3B419FDB257BDA0C2041A3C5FAC2295091402D9F09104BCF4C40","8",8,0,8,9.1,NA,"Unassessed Structure","Unassessed Structures"
1004603497,"NULL","NULL","MODELLED CROSSINGS","ROAD, RESOURCE/OTHER","CBS","POTENTIAL","NULL","NULL",356479891,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4603497","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",11,647552,5450406,141.886567301962,"300.625474.584724.074830.411859","300.625474.584724.074830.411859","ELKR","NULL","NULL",0,"NULL","NULL","NULL","NULL",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.599000731391173,0,0.48,0,0,0.6,0.48,0.6,0.48,"2252","0.48","1",0.48,"NULL","10","11","8","9","A","yes","below_elko","01010000E0BD0B0000C3F9559A1E7C3B418C5B3CFB420E2041000000000044914027F463C25EBC6140","9",9,0,9,9.66,NA,"Unassessed Structure","Unassessed Structures"
197786,"197786","1004606398","PSCIS","ROAD, RESOURCE/OTHER","CBS","BARRIER","Lodgepole Creek FSR","NULL",356565430,"Lodgepole Creek","Lodgepole Creek FSR","Stream crossing - CBS","CanFor","NULL","Priority barrier","Detailed habitat investigation","NULL","NULL","","NULL","Medium","Moderate","240000","Low","NULL","NULL","2024-11-06","NULL","NULL","Engage with barrier owner","2025-04-30","CWF","NULL","Industry crossing. Excellent quality habitat supporting all life stages of WCT. Currently scores as passable but likely to be replaced soon. Monitor.","Pure population of WCT confirmed in Lodgepole Creek. Undersized culvert with signs of overtopping. Culvert not buried in road bed, leading to damage in several locations.  Debris jam with 0.75 m drip currently creating a temporary passage barrier.","https://www.newgraphenvironment.com/fish_passage_elk_2021_reporting/appendix---197787-197786---lodgepole-creek.html Also see: VAST. 2023. Elk River Westslope Cutthroat Trout passage and habitat investigations. Prepared for Canadian Wildlife Federation by VAST Resource Solutions Inc., Cranbrook, B.C. ","4606398","HABITAT CONFIRMATION","ROUND","Harvey FSR","Lodgepole Creek","Small stream with good flow.  Abundant gravels just upstream with gradients increasing to 6-7% near 540m upstream of culvert where large (~30m high) waterfall is located. 10:18","2021-07-29","NULL","NULL","NULL","NULL","NULL",11,665796,5462152,26743,"300.625474.584724.074830.184942","300.625474.584724.074830.184942.889680","ELKR","NULL","197787",1,"NULL","NULL","NULL","NULL",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50600032548443,0,0.51,0,0,0.51,0.51,0.51,0.51,"1353","0.51","1",0.51,"{1352}","9","10","10","10","A","yes","below_elko","01010000E0BD0B0000C16A5FDCF7BC3B419A2FE44C8F7B20411AAA9F6D7D139A4000000000C01DDA40","10",10,1,10,10.14,"priority barrier","Priority Barrier","Barriers"
50175,"NULL","NULL","PSCIS","ROAD, RESOURCE/OTHER","OTHER","BARRIER","Wigwam FSR","NULL",356536400,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4605348","ASSESSED","FORD","Wigwam","unnamed tributary to Wigwam River","looks like a washout that had a CMP, high value habitat, unknown fish presence","2011-11-06","NULL","NULL","NULL","NULL","NULL",11,651415,5446108,618,"300.625474.584724.074830.530173","300.625474.584724.074830.530173","ELKR","NULL","NULL",0,"NULL","NULL","NULL","NULL",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.474000000000119,0,0.474000000000119,0,0,0.47,0.47,0.47,0.47,"2102","0.47","1",0.47,"NULL","11","12","11","11","B","yes","below_elko","01010000E0BD0B0000F379606B428D3B410D22CDAEC5E11F41F11F194CE5F292400000000000508340","11",11,0,11,10.65,NA,"Unassessed Structure","Unassessed Structures"
197843,"197843","Trib to Bighorn Cr @ Cabin Cr FSR (197843)","PSCIS","ROAD, RESOURCE/OTHER","CBS","BARRIER","Cabin FSR","NULL",356508380,"Tributary to Bighorn Creek","Cabin Cr FSR","Stream crossing - CBS","NULL","NULL","Data-deficient barrier","Barrier assessment","NULL","NULL","NULL","NULL","Medium","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Habitat confirmation (data deficient structures only)","NULL","NULL","NULL","Med quality habitat with good flow","NULL","https://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198863","4605502","ASSESSED","ROUND","Cabin FSR","Tributary to Bighorn Creek","Inlet drop of 0.2m.  Small stream, good flow. Steep downstream below pool. 12:42","2021-09-28","NULL","NULL","NULL","NULL","NULL",11,663915,5446488,125,"300.625474.584724.074830.438900.859767","300.625474.584724.074830.438900.859767","ELKR","NULL","NULL",0,"NULL","NULL","NULL","NULL",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447999999999866,0,0.45,0,0,0.45,0.45,0.45,0.45,"1652","0.45","1",0.45,"NULL","12","13","12","12","B","yes","below_elko","01010000E0BD0B0000C96892588BBD3B41BAAD25836A00204185FCCE84C06799400000000000405F40","12",12,0,12,11.12,"data-deficient barrier","Data-deficient Barrier","Barriers"
1004605549,"1004605549","Trib to Bighorn Cr @ Cabin Cr FSR","MODELLED CROSSINGS","ROAD, RESOURCE/OTHER","CBS","POTENTIAL","Cabin FSR","NULL",356553221,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4605549","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",11,652459,5452368,181.437366963644,"300.625474.584724.074830.438900.239603","300.625474.584724.074830.438900.239603","ELKR","NULL","NULL",0,"NULL","NULL","NULL","NULL",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0239999999998923,0,0.0239999999998923,0,0,0.02,0.02,0.02,0.02,"1052","0.02","1",0.02,"NULL","14","14","14","13","B","yes","below_elko","01010000E0BD0B0000939CA8402A8E3B41795CC77F63222041425B01A06FAD924075A600E9FEAD6640","13",13,0,13,11.57,NA,"Unassessed Structure","Unassessed Structures"
50177,"NULL","NULL","PSCIS","ROAD, RESOURCE/OTHER","CBS","BARRIER","NULL","NULL",356479891,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4605211","ASSESSED","ROUND","Tower Creek","unnamed tributary to Wigwam River","behind gate, unknown fish presence, small stream with no pools","2011-11-06","NULL","NULL","NULL","NULL","NULL",11,647288,5450104,617,"300.625474.584724.074830.411859","300.625474.584724.074830.411859","ELKR","NULL","1004603497",1,"NULL","NULL","NULL","NULL",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124000000000002,0,0.12,0,0,0.12,0.12,0.12,0.12,"2253","0.12","1",0.12,"{2252}","13","15","13","14","B","yes","below_elko","01010000E0BD0B0000EA9E8AFF3E7B3B41819B51A9A80B2041E6960726C3AF91400000000000488340","14",14,1,14,11.59,NA,"Unassessed Structure","Unassessed Structures"
